location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
P.S. 290 Manhattan New School,M290,P.S. 290 - MANHATTAN,M190,311 EAST  82 STREET MANHATTAN 10028,Yes,No,No,,,,
P.S. 191 Amsterdam,M191,P.S. 191 - MANHATTAN,M191,210 WEST  61 STREET MANHATTAN 10023,Yes,No,Yes,,,,
P.S. 192 Jacob H. Schiff,M192,P.S. 192 - MANHATTAN,M192,500 WEST 138 STREET MANHATTAN 10031,Yes,"Yes, in 2004",Yes,2005,0,44,
P.S. 325,M325,P.S. 192 - MANHATTAN,M192,500 WEST 138 STREET MANHATTAN 10031,Yes,"Yes, in 2004",Yes,2005,0,44,
Hamilton Grange Middle School,M209,P.S. 192 - MANHATTAN,M192,500 WEST 138 STREET MANHATTAN 10031,Yes,"Yes, in 2004",Yes,2005,0,44,
P.S. 194 Countee Cullen,M194,P.S. 194 - MANHATTAN,M194,244 WEST 144 STREET MANHATTAN 10030,Yes,No,Yes,,,,
Harlem Village Academy Charter School,M709,P.S. 194 - MANHATTAN,M194,244 WEST 144 STREET MANHATTAN 10030,Yes,No,Yes,,,,
KIPP STAR College Prep Charter School,M726,TERENCE D. TOLBERT EDUCATION COMPLEX - MANHATTAN,M195,625 WEST 133 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,17,
KIPP Infinity Charter School,M336,TERENCE D. TOLBERT EDUCATION COMPLEX - MANHATTAN,M195,625 WEST 133 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,17,
New Design Middle School,M514,TERENCE D. TOLBERT EDUCATION COMPLEX - MANHATTAN,M195,625 WEST 133 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,17,
Democracy Prep Charter School,M350,P.S. 197 - MANHATTAN,M197,2230 5 AVENUE MANHATTAN 10037,Yes,No,Yes,,,,
P.S. 197 John B. Russwurm,M197,P.S. 197 - MANHATTAN,M197,2230 5 AVENUE MANHATTAN 10037,Yes,No,Yes,,,,
P.S. 198 Isador E. Ida Straus,M198,P.S. 198 - MANHATTAN,M198,1700 3 AVENUE MANHATTAN 10128,Yes,No,Yes,,,,
P.S. 77 Lower Lab School,M077,P.S. 198 - MANHATTAN,M198,1700 3 AVENUE MANHATTAN 10128,Yes,No,Yes,,,,
