location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Universal Pre-K C.B.O.,K714,COOPER PARK CHILD CARE CENTER,KARE,292 FROST STREET BROOKLYN 11222,Yes,No,N/A,,,,
Parkway Elementary School,KARQ,PARKWAY ELEMENTARY SCHOOL,KARQ,5556 KINGS HIGHWAY BROOKLYN 11203,,,,,,,Information to come
Universal Pre-K C.B.O.,K718,PARKWAY ELEMENTARY SCHOOL,KARQ,5556 KINGS HIGHWAY BROOKLYN 11203,,,,,,,Information to come
Action Nursery Day Care,KARS,ACTION NURSERY DAY CARE,KARS,1019 46TH STREET BROOKLYN 11219,Yes,No,N/A,,,,
Bnos Yakov (Pupa),KASB,BNOS YAKOV (PUPA),KASB,274 KEAP STREET BROOKLYN 11211,Yes,No,N/A,,,,
YESHIVA KEHILATH YAKOV - KEAP,KBVT,BNOS YAKOV (PUPA),KASB,274 KEAP STREET BROOKLYN 11211,Yes,No,N/A,,,,
YESHIVA KEHILATH YAKOV,KBVU,BNOS YAKOV (PUPA),KASB,274 KEAP STREET BROOKLYN 11211,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K714,BNOS YAKOV (PUPA),KASB,274 KEAP STREET BROOKLYN 11211,Yes,No,N/A,,,,
Brevoort Children's Center,KASC,BREVOORT CHILDREN'S CENTER,KASC,250 RALPH AVENUE BROOKLYN 11233,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K717,CLEVELAND DAY CARE CENTER,KASG,1185 PARK PLACE BROOKLYN 11213,Yes,No,N/A,,,,
Edwards L. Cleaveland Day Care Center,KASG,CLEVELAND DAY CARE CENTER,KASG,1185 PARK PLACE BROOKLYN 11213,Yes,No,N/A,,,,
Cortelyou Early Childhood Center,KASI,CORTELYOU EARLY CHILDHOOD CENTER,KASI,1110 CORTELYOU ROAD BROOKLYN 11218,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72B,CORTELYOU EARLY CHILDHOOD CENTER,KASI,1110 CORTELYOU ROAD BROOKLYN 11218,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K713,DUFFIELD CHILDREN CENTER,KASJ,101 FLEET PLACE BROOKLYN 11201,Yes,No,N/A,,,,
BBCS HEAD START PROGRAM,KBUY,DUFFIELD CHILDREN CENTER,KASJ,101 FLEET PLACE BROOKLYN 11201,Yes,No,N/A,,,,
Duffield Children Center,KASJ,DUFFIELD CHILDREN CENTER,KASJ,101 FLEET PLACE BROOKLYN 11201,Yes,No,N/A,,,,
LA PENINSULA HEAD START CENTER (MANIDA STREET) CENTER 1,XAGE,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KASR,3017 GLENWOOD ROAD BROOKLYN 11210,Yes,No,N/A,,,,
NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KASR,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KASR,3017 GLENWOOD ROAD BROOKLYN 11210,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72B,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KASR,3017 GLENWOOD ROAD BROOKLYN 11210,Yes,No,N/A,,,,
"Mosdoth Day Care Center, Inc.",KASV,"MOSDOTH DAY CARE CENTER, INC.",KASV,420 LEFFERTS AVENUE BROOKLYN 11225,Yes,Yes,Yes,,,,
All My Children Daycare 10,KBJH,"MOSDOTH DAY CARE CENTER, INC.",KASV,420 LEFFERTS AVENUE BROOKLYN 11225,Yes,Yes,Yes,,,,
Universal Pre-K C.B.O.,K717,"MOSDOTH DAY CARE CENTER, INC.",KASV,420 LEFFERTS AVENUE BROOKLYN 11225,Yes,Yes,Yes,,,,
EAST MIDWOOD HEBREW DAY SCHOOL,KASZ,RABBI HARRY HALPIN  DAY SCHOOL,KASZ,1256 EAST  21 STREET BROOKLYN 11210,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72B,RABBI HARRY HALPIN  DAY SCHOOL,KASZ,1256 EAST  21 STREET BROOKLYN 11210,Yes,No,N/A,,,,
Francis Paola Pre School,KATG,FRANCIS PAOLA PRE SCHOOL,KATG,201 CONSELYEA STREET BROOKLYN 11211,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K714,FRANCIS PAOLA PRE SCHOOL,KATG,201 CONSELYEA STREET BROOKLYN 11211,Yes,No,N/A,,,,
Ahrc/Brooklyn Blue Feather School,KAAI,FRANCIS PAOLA PRE SCHOOL,KATG,201 CONSELYEA STREET BROOKLYN 11211,Yes,No,N/A,,,,
Ocean Parkway Developmental Center,KATM,OCEAN PARKWAY DEVELOPMENTAL CENTER,KATM,550 OCEAN PARKWAY BROOKLYN 11218,,,,,,,Information to come
MEVAKSHAI HASHEM,KCFD,OCEAN PARKWAY DEVELOPMENTAL CENTER,KATM,550 OCEAN PARKWAY BROOKLYN 11218,,,,,,,Information to come
Mevakshei Hashem,KBGJ,OCEAN PARKWAY DEVELOPMENTAL CENTER,KATM,550 OCEAN PARKWAY BROOKLYN 11218,,,,,,,Information to come
Warbasse Nursery School,KATR,WARBASSE NURSERY SCHOOL,KATR,2785 WEST 5TH STREET BROOKLYN 11224,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72A,WARBASSE NURSERY SCHOOL,KATR,2785 WEST 5TH STREET BROOKLYN 11224,Yes,No,N/A,,,,
